gene_accession,A_B1_alignment_dedup,PT010H2T0_alignment_dedup,A_P1_alignment_dedup,A_P2_alignment_dedup,A_B2_alignment_dedup,UK034D1T0_alignment_dedup,PT131D1T0_alignment_dedup,UK020D1T0_alignment_dedup,UK008H1T0_alignment_dedup,A_H2_alignment_dedup,A_H1_alignment_dedup
MEG_6619|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,60.0,781.0,0,30.0,284.0,0,0,0,0,0,0
MEG_3175|Drugs|Lipopeptides|Daptomycin-resistant_mutant|GSHF|RequiresSNPConfirmation,0,0,0,0,0,0,68.0,0,0,0,0
MEG_1691|Drugs|betalactams|Class_A_betalactamases|CFX,435.0,455.0,1018.0,1103.0,668.0,49.0,0,0,182.0,29.0,78.0
MEG_6053|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RECGM,0,107.0,0,0,0,0,0,0,0,0,0
MEG_3772|Drugs|betalactams|Penicillin_binding_protein|MECA,0,0,0,0,0,0,196.0,0,0,0,0
MEG_1300|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,0,0,53.0,55.0,0,0,0,0,0,0,0
MEG_1005|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,0,0,31.0,35.0,0,0,0,0,0,0,0
MEG_2051|Metals|Copper_resistance|Copper_resistance_protein|COPD,0,0,0,0,0,0,0,0,0,208.0,208.0
MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,0,2062.0,0,0,0,79.0,1906.0,0,1424.0,19.0,28.0
MEG_7532|Drugs|Glycopeptides|VanG-type_resistance_protein|VANTG,0,879.0,807.0,551.0,0,0,0,0,0,36.0,114.0
MEG_3178|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,802.0,902.0,1378.0,2369.0,483.0,0,3131.0,2041.0,1548.0,0,0
MEG_6776|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,58.0,0,0,0,0
MEG_3854|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,0,0,0,0,0,0,61.0,0,0,0,0
MEG_3188|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,2794.0,2755.0
MEG_3907|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXD,0,164.0,0,0,0,0,0,0,0,0,0
MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,1263.0,196.0,1329.0,1317.0,1272.0,0,0,0,0,1207.0,1355.0
MEG_6159|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,446.0,0,2463.0,2061.0,425.0,0,0,0,0,0,0
MEG_6862|Drugs|betalactams|Class_A_betalactamases|TEM,100.0,0,39.0,116.0,0,0,489.0,0,0,0,0
MEG_355|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,6.0,0
MEG_8634|Drugs|Lipopeptides|Colistin-resistant_mutant|PMRAR|RequiresSNPConfirmation,267.0,91.0,0,389.0,0,0,269.0,598.0,256.0,0,0
MEG_1164|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,239.0,0,347.0,370.0,185.0,0,113.0,231.0,114.0,30.0,45.0
MEG_8718|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,709.0,0,709.0,809.0,894.0,0,0,0,0,40.0,70.0
MEG_7813|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YCHH,400.0,336.0,384.0,473.0,316.0,134.0,470.0,484.0,455.0,8.0,14.0
MEG_3087|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,57.0,38.0
MEG_3225|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,243.0,0,0,0,0,395.0,0,399.0,0,0
MEG_3909|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXE,0,45.0,0,0,0,0,0,0,0,0,0
MEG_2093|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD,244.0,10.0,223.0,319.0,163.0,0,92.0,161.0,77.0,8.0,0
MEG_2087|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,1514.0,1190.0,1458.0,1787.0,1207.0,432.0,1658.0,1651.0,1530.0,92.0,83.0
MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,3434.0,5597.0,779.0,0,2803.0,266.0,4254.0,0,2977.0,403.0,507.0
MEG_7567|Drugs|Glycopeptides|VanD-type_resistance_protein|VANXD,0,15.0,0,0,0,0,0,0,0,0,0
MEG_802|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,135.0,87.0,23.0,0,17.0,0,0,24.0,43.0
MEG_6611|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,131.0,0,0,117.0,394.0,0,0,0,0,613.0,623.0
MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,2031.0,1622.0,1865.0,2264.0,1559.0,689.0,2233.0,2298.0,2203.0,72.0,76.0
MEG_6163|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,0,0,340.0,118.0,0,0,0,0,0,0,0
MEG_6700|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,44.0,0,0,0,0,0,0,0
MEG_7207|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,2585.0,2490.0,3029.0,2919.0,2682.0,0,0,0,1840.0,147.0,218.0
MEG_3514|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNE,0,0,0,0,0,0,0,0,0,11.0,15.0
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1507.0,1164.0,1999.0,1841.0,1742.0,754.0,0,0,0,4300.0,4319.0
MEG_4003|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,0,0,0,0,0,0,0,0,0,0,23.0
MEG_1007|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,0,0,12.0,34.0,0,0,0,0,0,0,0
MEG_6919|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,50.0,0,0,234.0,0,0,0,0
MEG_3906|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXC,0,32.0,0,0,0,0,0,0,0,0,0
MEG_7079|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,0,0,0,0,0,0,0,0,0,403.0,551.0
MEG_4310|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,212.0,0,0,0,1786.0,0,0,0,0,0,0
MEG_1040|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,1147.0,1383.0,1453.0,1434.0,1180.0,46.0,83.0,0,587.0,336.0,509.0
MEG_7840|Drugs|Lipopeptides|Defensin-resistant_mutant|YKKCL|RequiresSNPConfirmation,0,0,0,0,32.0,0,0,0,0,0,0
MEG_2822|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,62.0,0,0,0,116.0,0,0,0,0,0,0
MEG_1684|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRB,0,30.0,0,0,14.0,0,0,0,0,0,0
MEG_6021|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,0,0,0,0,0,0,0,0,84.0,132.0
MEG_2614|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|DHAP,9.0,0,0,0,0,0,0,0,0,0,0
MEG_8103|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,93.0,103.0
MEG_5795|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|PMRA,0,45.0,0,0,0,0,135.0,0,123.0,0,0
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,525.0,0,796.0,2146.0,1039.0,0,322.0,0,0,94.0,93.0
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,5404.0,3556.0,5232.0,6104.0,4185.0,1230.0,5816.0,5982.0,5616.0,180.0,176.0
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,2173.0,1168.0,2037.0,2253.0,1889.0,402.0,2113.0,2184.0,2037.0,47.0,109.0
MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,1110.0,1212.0,1320.0,1314.0,1130.0,83.0,10.0,0,607.0,992.0,1225.0
MEG_4513|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,301.0,333.0
MEG_7185|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,992.0,0,1098.0,1244.0,1143.0,20.0,820.0,0,76.0,247.0,246.0
MEG_7812|Metals|Iron_resistance|Iron_resistance_protein|YBTQ,2553.0,2643.0,451.0,1287.0,97.0,96.0,0,0,102.0,37.0,54.0
MEG_7250|Drugs|Mycobacterium_tuberculosis-specific_Drug|Para-aminosalicylic_acid_resistant_mutant|THYA|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,207.0,246.0
MEG_7589|Drugs|Glycopeptides|VanG-type_resistance_protein|VANXYG,0,0,38.0,28.0,0,0,0,0,0,0,0
MEG_6922|Drugs|betalactams|Class_A_betalactamases|TEM,499.0,0,241.0,558.0,142.0,0,933.0,0,0,0,0
MEG_911|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,98.0,0,0,0,0,0,0
MEG_2754|Drugs|MLS|Macrolide_esterases|ERED,36.0,0,0,0,665.0,0,0,0,0,214.0,573.0
MEG_2746|Drugs|MLS|Macrolide_esterases|EREA,0,0,0,0,0,0,0,0,0,1601.0,1637.0
MEG_960|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,34.0,0,0,0,0,0,40.0,51.0
MEG_5977|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,79.0,83.0
MEG_3983|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1684.0,0,1710.0,1566.0,1821.0,0,0,0,0,1867.0,1927.0
MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,189.0,123.0,210.0,338.0,131.0,30.0,397.0,432.0,267.0,8.0,0
MEG_6662|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,20.0,0,416.0,0,0,0,0
MEG_18|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,0,0,0,0,0,0,0,0,0,18.0,19.0
MEG_2536|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,76.0,0,0,0,0,0,0
MEG_6783|Drugs|betalactams|Class_A_betalactamases|TEM,102.0,0,56.0,193.0,24.0,0,482.0,0,0,0,0
MEG_3739|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,0,0,0,0,0,0,537.0,677.0,0,0,0
MEG_6024|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,0,0,0,0,0,0,0,0,21.0,54.0
MEG_1460|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE,335.0,0,443.0,650.0,717.0,0,325.0,0,0,9.0,0
MEG_402|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,0,0,0,0,0,0,0,0,0,40.0,45.0
MEG_3736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,833.0,674.0,811.0,1492.0,516.0,132.0,1672.0,1832.0,1473.0,0,0
MEG_6966|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET31,0,0,0,52.0,0,0,0,0,0,0,0
MEG_6690|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,165.0,0,0,433.0,0,0,0,0
MEG_6813|Drugs|betalactams|Class_A_betalactamases|TEM,94.0,0,44.0,118.0,0,0,421.0,0,0,0,0
MEG_3096|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,87.0,99.0
MEG_2030|Metals|Copper_resistance|Copper_resistance_protein|COPA,2344.0,0,0,0,1510.0,0,0,0,0,0,0
MEG_910|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,168.0,0,0,0,0,0,0
MEG_1584|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,27.0,0,0,0,0,0,0,0,0
MEG_6094|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,2490.0,3067.0,3907.0,6763.0,1851.0,626.0,5099.0,4379.0,3082.0,431.0,484.0
MEG_2847|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,504.0,0,307.0,203.0,483.0,0,0,0,0,0,59.0
MEG_5343|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,3998.0,0,0,0,140.0,3237.0,0,1942.0,0,55.0
MEG_303|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,447.0,0,0,0,311.0,0,0,0,0,0,0
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,3340.0,1646.0,3349.0,3274.0,3299.0,0,0,0,1762.0,178.0,240.0
MEG_792|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,77.0,63.0,22.0,0,26.0,0,0,82.0,91.0
MEG_3102|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,265.0,237.0
MEG_3903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB,0,165.0,0,0,0,0,0,0,0,0,0
MEG_1644|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|CEOB,0,0,0,0,0,0,0,0,0,475.0,536.0
MEG_1143|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,68.0,0,1262.0,37.0,0,0,0,0,0,267.0,341.0
MEG_3838|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0,398.0,0,0,0,0,800.0,0,1229.0,37.0,81.0
MEG_7035|Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|TETA46,0,1957.0,0,0,0,0,1114.0,0,1632.0,99.0,117.0
MEG_2895|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,726.0,1148.0,613.0,1655.0,503.0,21.0,186.0,0,0,0,0
MEG_6706|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,75.0,0,0,0,0
MEG_6594|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,49.0,0,49.0,67.0,203.0,0,0,0,0,381.0,344.0
MEG_3661|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,470.0,307.0,437.0,584.0,351.0,71.0,603.0,637.0,523.0,10.0,21.0
MEG_5357|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,125.0,0,0,0,0,0,0,0,0,0
MEG_3863|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,4.0,0,17.0,19.0,0,0,0,0,0,522.0,566.0
MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1843.0,1016.0,1753.0,2035.0,1463.0,374.0,1865.0,1941.0,1807.0,65.0,72.0
MEG_3827|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFB,0,0,0,0,28.0,0,0,0,0,2039.0,2157.0
MEG_2139|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CTPC,0,0,0,0,0,0,0,0,0,254.0,237.0
MEG_4322|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,0,0,0,0,437.0,0,0,0,0,0,0
MEG_7208|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,1168.0,1426.0,2666.0,2580.0,1167.0,788.0,0,0,1441.0,235.0,299.0
MEG_2092|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD,336.0,50.0,311.0,431.0,216.0,0,197.0,268.0,173.0,7.0,8.0
MEG_8435|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,115.0,141.0
MEG_3808|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,362.0,0,0,0,352.0,0,0,0,0,0,776.0
MEG_2465|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCC,0,0,0,0,0,0,0,0,0,1425.0,1480.0
MEG_2819|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0,0,7.0,0,115.0,0,0,0,0,0,0
MEG_7026|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,254.0,0,409.0,1509.0,519.0,0,198.0,0,0,43.0,46.0
MEG_7172|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,2036.0,2003.0,3547.0,3522.0,1952.0,1339.0,0,0,2092.0,425.0,533.0
MEG_8709|Drugs|betalactams|Class_A_betalactamases|TEM,146.0,0,78.0,240.0,25.0,0,487.0,0,0,0,0
MEG_139|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,74.0,0,0,0,0,0,0,0,0,0
MEG_2619|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,17.0,26.0
MEG_1697|Drugs|betalactams|Class_A_betalactamases|CFX,294.0,516.0,914.0,1075.0,532.0,96.0,0,0,316.0,32.0,59.0
MEG_7065|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,121.0,0,206.0,345.0,198.0,0,0,0,0,855.0,1046.0
MEG_902|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,170.0,0,0,0,0,0,0
MEG_3586|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0,0,13.0,0,0,0,43.0,0,0,0,10.0
MEG_5786|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_regulator|PHOR,0,0,0,0,0,0,0,0,0,50.0,59.0
MEG_5340|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,238.0,0,0,0,0,384.0,0,476.0,0,0
MEG_5942|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,4.0
MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,4225.0,2813.0,4186.0,4469.0,3723.0,927.0,4296.0,4366.0,4108.0,122.0,177.0
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,2181.0,2633.0,748.0,932.0,2131.0,1229.0,2435.0,0,1865.0,2222.0,2418.0
MEG_7017|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,198.0,0,277.0,992.0,288.0,0,132.0,0,0,53.0,38.0
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3418.0,0,2727.0,3139.0,3773.0,2321.0,0,861.0,0,3491.0,3402.0
MEG_6116|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,582.0,0,0,0,0,0,0
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,553.0,821.0,2888.0,2890.0,687.0,2260.0,0,0,0,2875.0,2892.0
MEG_3868|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,4.0,0,6.0,7.0,0,0,0,0,0,298.0,323.0
MEG_3877|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,0,0,0,0,0,0,0,0,0,24.0,32.0
MEG_1523|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,0,0,0,0,13.0
MEG_7170|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,2829.0,2915.0,3374.0,3302.0,2833.0,600.0,0,1032.0,2883.0,601.0,818.0
MEG_1216|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,0,0,0,3.0,0,8.0,26.0,0,0,0,4.0
MEG_1231|Metals|Copper_resistance|Copper_resistance_regulator|BHSA,330.0,248.0,315.0,412.0,269.0,75.0,394.0,432.0,361.0,17.0,17.0
MEG_2992|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,0,0,0,0,0,9.0,0,0,0,0
MEG_7397|Drugs|Glycopeptides|VanG-type_resistance_protein|VANG,0,0,170.0,80.0,0,0,0,0,0,0,0
MEG_6942|Drugs|betalactams|Class_A_betalactamases|TEM,156.0,0,53.0,192.0,33.0,0,588.0,0,0,0,0
MEG_6863|Drugs|betalactams|Class_A_betalactamases|TEM,59.0,26.0,30.0,109.0,0,0,403.0,0,0,0,0
MEG_6128|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,647.0,0,0,0,0,0,0,0,0
MEG_1557|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,0,52.0,0,0,0,0,0,0,0,24.0,0
MEG_7631|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,0,0,165.0,143.0,11.0,0,0,0,0,0,0
MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,608.0,748.0,792.0,1059.0,539.0,0,1040.0,1001.0,765.0,0,0
MEG_3861|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,0,0,39.0,128.0,0,0,0,0,0,403.0,431.0
MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,2351.0,782.0,2280.0,2735.0,1845.0,557.0,2623.0,2739.0,2581.0,81.0,87.0
MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,669.0,0,526.0,562.0,707.0,0,0,0,0,482.0,564.0
